question,answer,category
パスワードを忘れた場合はどうすればいいですか？,ログイン画面の「パスワードを忘れた方」リンクをクリックし、登録メールアドレスを入力してください。リセット用のリンクが送信されます。,アカウント
アカウントを削除するにはどうすればいいですか？,設定画面の「アカウント管理」から「アカウント削除」を選択してください。削除後30日間はデータが保持されます。,アカウント
料金プランの変更方法を教えてください。,設定画面の「プラン管理」から変更できます。アップグレードは即時反映、ダウングレードは次回請求日から適用されます。,料金
返金ポリシーについて教えてください。,購入後14日以内であれば全額返金が可能です。14日を過ぎた場合は日割り計算での返金となります。,料金
APIキーの取得方法を教えてください。,ダッシュボードの「開発者設定」→「APIキー」から新しいキーを生成できます。キーは一度しか表示されないため、安全な場所に保管してください。,開発者
APIのレート制限はありますか？,無料プランは1分あたり60リクエスト、Proプランは1分あたり1000リクエスト、Enterpriseプランは無制限です。,開発者
二要素認証の設定方法を教えてください。,設定画面の「セキュリティ」から「二要素認証を有効化」を選択し、認証アプリでQRコードをスキャンしてください。,セキュリティ
データのエクスポート方法を教えてください。,設定画面の「データ管理」→「エクスポート」からJSON形式またはCSV形式でダウンロードできます。,データ管理
対応しているファイル形式を教えてください。,PDF、DOCX、TXT、CSV、JSON、XMLの形式に対応しています。最大ファイルサイズは100MBです。,機能
チーム機能の使い方を教えてください。,ダッシュボードの「チーム管理」からメンバーを招待できます。管理者、編集者、閲覧者の3つのロールがあります。,機能
